git_id	cpu_total	cpu_user	cpu_system	max_rss	timestamp	hostname	arch	os	exit_code	signal
43bf275	0.029052	0.025865	0.003187	2805760	1706132820	spidey2	x86_64	Darwin 23.3.0	0	-
43bf275	0.032901	0.029998	0.002903	2723840	1706132946	spidey2	x86_64	Darwin 23.3.0	0	-
5b6eb7d	0.029781	0.026754	0.003027	2863104	1706569941	spidey2	x86_64	Darwin 23.3.0	0	-
59c16b3	0.024680	0.021393	0.003287	2473984	1706637534	spidey2	x86_64	Darwin 23.3.0	0	-
e556657	0.023076	0.020283	0.002793	2084864	1706637585	spidey2	x86_64	Darwin 23.3.0	0	-
e556657	0.023059	0.020553	0.002506	2084864	1706637602	spidey2	x86_64	Darwin 23.3.0	0	-
11a2957	0.024548	0.022095	0.002453	2514944	1706637687	spidey2	x86_64	Darwin 23.3.0	0	-
49ae3aa	0.042370	0.037353	0.005017	3072000	1706659236	spidey2	x86_64	Darwin 23.3.0	0	-
ad1e101	0.037786	0.033022	0.004764	2924544	1706659290	spidey2	x86_64	Darwin 23.3.0	0	-
ad1e101	0.038245	0.034173	0.004072	2580480	1706659330	spidey2	x86_64	Darwin 23.3.0	0	-
866e065	0.025046	0.022635	0.002411	2560000	1706659457	spidey2	x86_64	Darwin 23.3.0	0	-
a015394	0.013095	0.012224	0.000871	3145728	1714404617	sunbird.local	arm64	Darwin 23.4.0	0	-
29d107e	0.017015	0.014989	0.002026	3538944	1714856429	sunbird	arm64	Darwin 23.4.0	0	-
29d107e	0.013477	0.012344	0.001133	3620864	1714856531	sunbird	arm64	Darwin 23.4.0	0	-
19b58af	0.013097	0.011902	0.001195	3276800	1715011484	sunbird	arm64	Darwin 23.4.0	0	-
19b58af	0.013576	0.012485	0.001091	3670016	1715011494	sunbird	arm64	Darwin 23.4.0	0	-
5da8a76	0.017733	0.015549	0.002184	3784704	1715011530	sunbird	arm64	Darwin 23.4.0	0	-
a774735	0.018194	0.015729	0.002465	3866624	1715102265	sunbird.local	arm64	Darwin 23.4.0	0	-
