git_id	cpu_total	cpu_user	cpu_system	max_rss	timestamp	hostname	arch	os	exit_code	signal
43bf275	0.034488	0.031563	0.002925	2965504	1706132820	spidey2	x86_64	Darwin 23.3.0	0	-
43bf275	0.036197	0.033274	0.002923	2785280	1706132946	spidey2	x86_64	Darwin 23.3.0	0	-
5b6eb7d	0.034867	0.031582	0.003285	2871296	1706569941	spidey2	x86_64	Darwin 23.3.0	0	-
59c16b3	0.030080	0.027106	0.002974	2863104	1706637534	spidey2	x86_64	Darwin 23.3.0	0	-
e556657	0.029063	0.026239	0.002824	2568192	1706637585	spidey2	x86_64	Darwin 23.3.0	0	-
e556657	0.028302	0.025660	0.002642	2322432	1706637602	spidey2	x86_64	Darwin 23.3.0	0	-
11a2957	0.028682	0.026225	0.002457	2469888	1706637687	spidey2	x86_64	Darwin 23.3.0	0	-
49ae3aa	0.047081	0.042492	0.004589	3063808	1706659236	spidey2	x86_64	Darwin 23.3.0	0	-
ad1e101	0.041933	0.037086	0.004847	2904064	1706659290	spidey2	x86_64	Darwin 23.3.0	0	-
ad1e101	0.039866	0.035783	0.004083	2490368	1706659330	spidey2	x86_64	Darwin 23.3.0	0	-
866e065	0.030515	0.027906	0.002609	2674688	1706659457	spidey2	x86_64	Darwin 23.3.0	0	-
a015394	0.015777	0.014744	0.001033	3506176	1714404617	sunbird.local	arm64	Darwin 23.4.0	0	-
29d107e	0.020133	0.018330	0.001803	3588096	1714856429	sunbird	arm64	Darwin 23.4.0	0	-
29d107e	0.015780	0.014798	0.000982	3604480	1714856531	sunbird	arm64	Darwin 23.4.0	0	-
19b58af	0.015996	0.014860	0.001136	3735552	1715011484	sunbird	arm64	Darwin 23.4.0	0	-
19b58af	0.015337	0.014440	0.000897	2818048	1715011494	sunbird	arm64	Darwin 23.4.0	0	-
5da8a76	0.020410	0.018351	0.002059	3653632	1715011530	sunbird	arm64	Darwin 23.4.0	0	-
a774735	0.020985	0.018893	0.002092	3457024	1715102265	sunbird.local	arm64	Darwin 23.4.0	0	-
c1c267d	0.015972	0.014929	0.001043	3784704	1717018138	sunbird	arm64	Darwin 23.4.0	0	-
c6adbb3	0.015876	0.014887	0.000989	3489792	1717018435	sunbird	arm64	Darwin 23.4.0	0	-
be7681c	0.016043	0.014896	0.001147	4276224	1719424277	sunbird	arm64	Darwin 23.4.0	0	-
afef005	0.020563	0.018852	0.001711	3637248	1719424374	sunbird	arm64	Darwin 23.4.0	0	-
f2acfad	0.380696	0.380696	0.000000	32800	1720627355	ip-172-26-9-198	x86_64	Linux 6.5.0-1022-aws	0	-
f2acfad	0.252733	0.248611	0.004122	32908	1720627479	ip-172-26-9-198	x86_64	Linux 6.5.0-1022-aws	0	-
e8903b9	0.015842	0.014798	0.001044	3407872	1720728874	sunbird.local	arm64	Darwin 23.4.0	0	-
6596402	0.031428	0.028332	0.003096	3768320	1720729025	sunbird.local	arm64	Darwin 23.4.0	0	-
6596402	0.016627	0.015316	0.001311	4014080	1720729066	sunbird.local	arm64	Darwin 23.4.0	0	-
6c15190	0.022163	0.020423	0.001740	3620864	1721751764	sunbird.local	arm64	Darwin 23.4.0	0	-
